position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date,source/authors/0
2,Puma con crías en Nahuelbuta reabre desafío de convivir con la fauna silvestre en Chile,elrancahuaso.cl,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.elrancahuaso.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.elrancahuaso.cl/noticia/sociedad/puma-con-crias-en-nahuelbuta-reabre-desafio-de-convivir-con-la-fauna-silvestre-en-c,https://cdn.elrancahuaso.cl/sites/elrancahuaso.cl/files/imagecache/380x285/imagen_noticia/captura_de_pantalla_2026-04-11_a_las_12.00.35_a.m.png,https://news.google.com/api/attachments/CC8iK0NnNTJUbXQzWnpsU05GbG5VVGRLVFJDZEFoaVFBeWdLTWdZSjE1Qm53Z1U,"04/11/2026, 05:00 AM, +0000 UTC",2026-04-11T05:00:05Z,
3,SAG activa vigilancia por avistamiento de puma en zona rural de O’Higgins,seranoticia.cl,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://seranoticia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://seranoticia.cl/2026/04/10/sag-activa-vigilancia-por-avistamiento-de-puma-en-zona-rural-de-ohiggins/,https://seranoticia.cl/wp-content/uploads/2026/04/PUMA.jpg,https://news.google.com/api/attachments/CC8iK0NnNVlaRVJTYTNZd2FVeFlNV1JJVFJEV0F4aU1CU2dLTWdZeFlJeVB4UVE,"04/10/2026, 05:54 PM, +0000 UTC",2026-04-10T17:54:50Z,
4,"Avistamiento de puma en las zonas de recarga hídrica, reporta la Junta Administradora de Agua Potable de Baños",elmercurio.com.ec,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://elmercurio.com.ec&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://elmercurio.com.ec/ultimas-noticias/2026/04/22/avistamiento-puma-concolor-cuenca-banos/,https://elmercurio.com.ec/wp-content/uploads/2026/04/puma.jpg,https://news.google.com/api/attachments/CC8iK0NnNUthSEpNT1ZrNFlVWXdSakIwVFJDaEF4amdCU2dLTWdZdGxJeFJOUWM,"04/22/2026, 04:11 PM, +0000 UTC",2026-04-22T16:11:02Z,
5,Avistamiento de pumas en Chile: Por qué somos el “Hollywood” del felino,Chile Travel,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://chile.travel&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://chile.travel/blog/avistamiento-de-pumas-en-chile-por-que-somos-el-hollywood-del-felino/,https://chile.travel/wp-content/uploads/2026/01/ea1deb59-shutterstock_2262331785-1-300x200.jpg,https://news.google.com/api/attachments/CC8iK0NnNHlNelZWZDAxMFQwWTBhRk5sVFJESUFSaXNBaWdLTWdZbGhJNnRMUWM,"12/18/2025, 08:00 AM, +0000 UTC",2025-12-18T08:00:00Z,
6,Avistamiento de puma a metros de una vivienda en Punitaqui alerta a crianceros,diarioeldia.cl,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diarioeldia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diarioeldia.cl/noticias/2026/01/20/132286-avistamiento-de-puma-a-metros-de-una-vivienda-en-punitaqui-alerta-a-crianceros,https://diarioeldia-s3.cdn.net.ar/s3i233/2026/01/diarioeldia/images/02/44/19/2441934_52d97fc8a8161d871b22a448c951ed702232e29ea9fd66ea233e4bdabb75b627/md.webp,https://news.google.com/api/attachments/CC8iK0NnNW5NWEZQYzIxNlJVaGlWamx0VFJDZkJCaTBCQ2dLTWdhQlo0UmdRd1U,"01/20/2026, 08:00 AM, +0000 UTC",2026-01-20T08:00:00Z,
7,Inusual avistamiento en Santa Cruz: un puma apareció sobre los restos de un barco semihundido frente a la costa,Infobae,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.infobae.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.infobae.com/sociedad/2026/04/04/inusual-avistamiento-en-santa-cruz-un-puma-aparecio-sobre-los-restos-de-un-barco-semihundido-frente-a-la-costa/,https://www.infobae.com/resizer/v2/SHPATVEXZJHS7BRKOM6IZW3SFY.jpg?auth=b30dd50a7efb336e548dedbc549a7e461a18feb6924c621f208a634ff888a27e&smart=true&width=1200&height=675&quality=85,https://news.google.com/api/attachments/CC8iK0NnNVVhbEJ0VFZkdFVrOU5jalJYVFJDZkF4ampCU2dLTWdZVmRKU3RKUWc,"04/04/2026, 07:00 AM, +0000 UTC",2026-04-04T07:00:00Z,
8,El triste final de una puma en Frutillar: SAG hace enfático llamado a veraneantes,La Cuarta,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.lacuarta.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.lacuarta.com/chile/noticia/el-triste-final-de-una-puma-en-frutillar-sag-hace-enfatico-llamado-a-veraneantes/,https://www.lacuarta.com/resizer/v2/FVAAQ3ZVNVD35JC4CU57JDAIIE.jpg?auth=313ae0b1ca00a16f34d03498c140c03dcbd16e76ab474efec7739de343f67014&width=1200&smart=true,https://news.google.com/api/attachments/CC8iL0NnNUxObVJyV2tvMVpHeFpkRVpHVFJDZ0F4amlCU2dLTWdtRlVKcTNxQ2pCcGdJ,"01/08/2026, 08:00 AM, +0000 UTC",2026-01-08T08:00:00Z,
9,Reportan avistamiento de puma en carretera de Tepetiltic,Meganoticias.MX,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.meganoticias.mx&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.meganoticias.mx/tepic/noticia/reportan-avistamiento-de-puma-en-carretera-de-tepetiltic/702897,,,"04/21/2026, 05:24 AM, +0000 UTC",2026-04-21T05:24:52Z,
10,Puma perdido en Canelones: qué se sabe y cómo sigue la búsqueda del animal,Montevideo Portal,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.montevideo.com.uy&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.montevideo.com.uy/Noticias/Puma-perdido-en-Canelones-que-se-sabe-y-como-sigue-la-busqueda-del-animal-uc959620,https://imagenes.montevideo.com.uy/imgnoticias/202604/_W640_H364_80/953883.webp,https://news.google.com/api/attachments/CC8iL0NnNTZlRkZ2YXpsVlRWZHNiSEF3VFJEc0FoaUFCU2dLTWdrQklJYTFIS3FhVXdF,"04/20/2026, 05:53 PM, +0000 UTC",2026-04-20T17:53:00Z,
11,Puma atacó a perros en sector rural de Mulchén,latribuna.cl,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.latribuna.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.latribuna.cl/medio-ambiente/2026/01/17/puma-ataco-a-perros-en-sector-rural-de-mulchen.html,https://img.latribuna.cl/upload/2026/01/17161D524C43456D14110F55584947731F141D18524342761C15-2000x1125.jpg,https://news.google.com/api/attachments/CC8iK0NnNUVjMWRuVlVoVk5HeExXazlEVFJDZkF4ampCU2dLTWdZQlFaam5wQWc,"01/17/2026, 08:00 AM, +0000 UTC",2026-01-17T08:00:00Z,
12,Canelones: continúa la búsqueda del puma tras denuncias de avistamiento.,Cadena del Mar,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://cadenadelmar.uy&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://cadenadelmar.uy/nacional/canelones-continua-la-busqueda-del-puma-tras-denuncias-de-avistamiento-19065,https://cadenadelmar.uy/adjuntos/galerias/000/049/0000049085.jpeg,https://news.google.com/api/attachments/CC8iK0NnNHlPVWRhZEhNNUxYWk5hM2N3VFJDbUF4alhCU2dLTWdZUlVJcUhzZ1k,"04/18/2026, 12:13 AM, +0000 UTC",2026-04-18T00:13:46Z,
13,"Pese a esfuerzos, muere puma atropellado en comuna de Frutillar",Diario Sostenible,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.diariosostenible.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diariosostenible.cl/noticia/actualidad/2026/01/pese-a-esfuerzos-muere-puma-atropellado-en-comuna-de-frutillar,https://www.diariosostenible.cl/files/695fa970eb0fc_1200x719.jpg,https://news.google.com/api/attachments/CC8iI0NnNWxVVUZHTXpWRE5HOVVVazFWVFJDdEF4ak1CU2dLTWdB,"01/08/2026, 08:00 AM, +0000 UTC",2026-01-08T08:00:00Z,
14,SAG Los Lagos interpone una denuncia por presunta muerte y maltrato de puma en Cochamó,Mestizos Magazine,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.mestizos.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.mestizos.cl/actualidad-animal/2025/12/05/sag-los-lagos-interpone-una-denuncia-por-presunta-muerte-y-maltrato-de-puma-en-cochamo.html,https://img.mestizos.cl/upload/2025/04/17161D514C43406D17110F56534946761F131818534440711D-2000x1125.jpeg,https://news.google.com/api/attachments/CC8iI0NnNHdXVkp2UjNsclZVRTRNbE5TVFJDZkF4ampCU2dLTWdB,"12/05/2025, 08:00 AM, +0000 UTC",2025-12-05T08:00:00Z,
15,Villa El Tato: Buscan un Puma que se lo vio suelto en una plaza esta madrugada,lagaceta.com.uy,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://lagaceta.com.uy&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://lagaceta.com.uy/villa-el-tato-buscan-un-puma-que-se-lo-vio-suelto-en-una-plaza-esta-madrugada/,https://s3.us-east-1.wasabisys.com/la-gaceta/2026/04/Villa-El-Tato-Buscan-un-Puma-que-se-lo-vio-suelto-en-una-plaza-esta-madrugada-1024x612.png,https://news.google.com/api/attachments/CC8iK0NnNUdSakZwY1c5dlNHbGthREJMVFJDc0F4ak1CU2dLTWdZcEZaYXVsUWM,"04/16/2026, 07:00 AM, +0000 UTC",2026-04-16T07:00:00Z,
16,Incautan piel de puma en Mulchén: SAG presentará antecedentes al Ministerio Público,latribuna.cl,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.latribuna.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.latribuna.cl/policial/2026/01/28/incautan-piel-de-puma-en-mulchen-sag-presentara-antecedentes-al-ministerio-publico.html,https://img.latribuna.cl/upload/2026/01/17161D524C43456D171E0F55534940761F161818524343701C15-2000x1125.jpeg,https://news.google.com/api/attachments/CC8iL0NnNWFjWEp6WkZGak1FNDJRemRUVFJDZkF4ampCU2dLTWdtQlk0N0ZPaWFEYWdJ,"01/28/2026, 08:00 AM, +0000 UTC",2026-01-28T08:00:00Z,
17,Vecinos de Punucapa pasaron susto tras avistar puma en patio de su casa,Diario Sostenible,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.diariosostenible.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diariosostenible.cl/noticia/actualidad/2026/01/vecinos-de-punucapa-pasaron-susto-tras-avistar-puma-en-patio-de-su-casa,https://www.diariosostenible.cl/files/695d883d1a963_1200x719.jpg,https://news.google.com/api/attachments/CC8iI0NnNVplRXRsT0dKRGVFTkRiRVZsVFJDdUFSaWlBaWdCTWdB,"01/05/2026, 08:00 AM, +0000 UTC",2026-01-05T08:00:00Z,
18,"Tras muerte de puma, llaman a tener conciencia sobre cruces carreteros de fauna en Coahuila",Milenio,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.milenio.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.milenio.com/estados/muerte-puma-piden-conciencia-cruces-fauna-coahuila,https://cdn.milenio.com/uploads/media/2025/06/25/puma-fundamental-equilibrio-natural-leon.jpg,https://news.google.com/api/attachments/CC8iK0NnNXFTbWRzWkVSaWFuSjNkM2hCVFJDZ0F4amhCU2dLTWdhZFJvd3FIZ2s,"04/07/2026, 07:00 AM, +0000 UTC",2026-04-07T07:00:00Z,
19,🐾 ALERTA POR PUMA SILVESTRE EN HUDSON Un operativo especial se activó en un barrio privado de Hudson (Berazategui) tras confirmarse la presencia de un puma cerca de la ribera. El animal fue captado por cámaras de seguridad y se desplegó un d,instagram.com,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.instagram.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.instagram.com/p/DVeiyHhjfVk/,https://lookaside.instagram.com/seo/google_widget/crawler/?media_id=3845664109455340900,https://news.google.com/api/attachments/CC8iK0NnNU1iSFZFTVhWNmFrbFZUbWhNVFJEckJCanZBeWdLTWdZTlFvUXduUWc,"03/04/2026, 08:00 AM, +0000 UTC",2026-03-04T08:00:00Z,
20,Alerta en Maule por presencia de puma cerca de la mina El Chivato,Diario El Centro,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.diarioelcentro.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diarioelcentro.cl/2025/11/05/alerta-en-maule-por-posible-presencia-de-puma-cerca-de-la-mina-el-chivato/,https://www.diarioelcentro.cl/wp-content/uploads/2025/11/572755280_18371095771146277_274009244791721086_n.jpg,https://news.google.com/api/attachments/CC8iJ0NnNUtkbXMwYWtwMVQyMXphMlZOVFJDa0JCaWtCQ2dLTWdOeDhBSQ,"11/05/2025, 08:00 AM, +0000 UTC",2025-11-05T08:00:00Z,
21,Autoridades confirman presencia de un puma en La Unión y piden proteger la fauna silvestre,Hora 13 Noticias,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://h13n.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://h13n.com/autoridades-confirman-presencia-de-un-puma-en-la-union-y-piden-proteger-la-fauna-silvestre/,https://h13n.com/wp-content/uploads/2026/03/fub-pagina-19-1.jpg,https://news.google.com/api/attachments/CC8iK0NnNWxTVXBQVURCNk9HUnVVVTVPVFJDZkF4ampCU2dLTWdZUlNaQ2xIZ1k,"03/09/2026, 07:00 AM, +0000 UTC",2026-03-09T07:00:00Z,
22,"Un puma suelto en un country de Hudson, vecinos en alerta",Perfil,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.perfil.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.perfil.com/noticias/sociedad/alerta-en-hudson-por-la-aparicion-de-un-puma-en-un-country.phtml,https://fotos.perfil.com/2026/03/04/trim/987/555/puma-en-un-barrio-cerrado-de-berazategui-04032026-2196199.jpg,https://news.google.com/api/attachments/CC8iK0NnNUZRVzVEV1RSYWJUSndRMUJ1VFJDb0FSaXNBaWdCTWdZeEZZYXVrUW8,"03/04/2026, 08:00 AM, +0000 UTC",2026-03-04T08:00:00Z,
23,Video: campesinos lograron salvar a un puma arrastrado por el río Sinú en medio de la emergencia invernal en Córdoba,Infobae,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.infobae.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.infobae.com/colombia/2026/02/14/video-campesinos-lograron-salvar-a-un-puma-arrastrado-por-el-rio-sinu-en-medio-de-la-emergencia-invernal-en-cordoba/,https://www.infobae.com/resizer/v2/RQLHS4COIFGU3FVWWR2LJZS4BA.png?auth=0d1536bb4788f7805a75ea46bb7ea80d0542b2c06e21b605bb2f106d61f5eb97&smart=true&width=1200&height=675&quality=85,https://news.google.com/api/attachments/CC8iK0NnNXZkVlF4YUd0RVJtUkJiR2x5VFJDZkF4ampCU2dLTWdZOWNJclVOQVk,"02/13/2026, 08:00 AM, +0000 UTC",2026-02-13T08:00:00Z,
24,Avistamiento de puma en límites del Cauca y Valle del Cauca,Radio Nacional de Colombia,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.radionacional.co&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.radionacional.co/actualidad/medio-ambiente/avistamiento-de-puma-en-limites-del-cauca-y-valle-del-cauca,https://radionacional-v3.s3.amazonaws.com/s3fs-public/node/article/field_image/puma.jpg,https://news.google.com/api/attachments/CC8iK0NnNWFRVUZrTldOWWIzVlJRVVZFVFJDZkF4ampCU2dLTWdZWlZZaU9vUWs,"01/09/2026, 08:00 AM, +0000 UTC",2026-01-09T08:00:00Z,
25,Nuevo avistamiento de un puma en Rivadavia y crece la preocupación,Tiempo de San Juan,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.tiempodesanjuan.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.tiempodesanjuan.com/san-juan/nuevo-avistamiento-un-puma-rivadavia-y-crece-la-preocupacion-n426710,https://media.tiempodesanjuan.com/p/59276f091be32f9af0baea89b03b0e03/adjuntos/331/imagenes/000/860/0000860774/1200x630/smart/image.png,https://news.google.com/api/attachments/CC8iK0NnNXVjRGhxYTFKTmVGWjZWRFJEVFJDUkF4ajhCU2dLTWdhcEk1aHRuUWs,"03/31/2026, 07:00 AM, +0000 UTC",2026-03-31T07:00:00Z,
26,Video | El majestuoso puma concolor que fue captado en el Parque Chingaza: “El Páramo me dio el mejor obsequio”,Infobae,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.infobae.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.infobae.com/colombia/2025/11/02/video-el-majestuoso-puma-concolor-que-fue-captado-en-el-parque-chingaza-el-paramo-me-dio-el-mejor-obsequio/,https://www.infobae.com/resizer/v2/YZJI62RT45A7ZD5AHVLZASH5PU.png?auth=16e9c13cae86313b9f0ac6871622a062b1db270048251e5334b7d28d3f7cd41a&smart=true&width=1200&height=675&quality=85,https://news.google.com/api/attachments/CC8iK0NnNURURll4VURZeVEyVlVObTlPVFJDZkF4ampCU2dLTWdhaHhJcU93UVE,"11/02/2025, 07:00 AM, +0000 UTC",2025-11-02T07:00:00Z,Sebastian Vargas
27,Matan a puma protegido en San Martín: Fiscalía abre investigación penal por delito ambiental,Infobae,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.infobae.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.infobae.com/peru/2026/02/03/matan-a-puma-protegido-en-san-martin-fiscalia-abre-investigacion-penal-por-delito-ambiental/,https://www.infobae.com/resizer/v2/J6UJEAGZBJAO3HIHX6AQVX7ASM.jpg?auth=31ff12720e7684f8bc781a23c24ea6ab65c3628e534fd569e22d23ea6fb2c942&smart=true&width=1200&height=675&quality=85,https://news.google.com/api/attachments/CC8iK0NnNTZTazl5VWpneE9GcHhhazVCVFJDZkF4ampCU2dLTWdhMVk1SlJyUVk,"02/03/2026, 08:00 AM, +0000 UTC",2026-02-03T08:00:00Z,Olenka Pizarro
28,Gata adopta cachorro de puma en Villa La Angostura,Radio LV11,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.radiolv11.com.ar&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.radiolv11.com.ar/noticias/gata-adopta-cachorro-puma-neuquen-accidente-ruta-40,https://www.radiolv11.com.ar/uploads/news/1775425543_image_1775425462328.webp,https://news.google.com/api/attachments/CC8iL0NnNWxURkp1Tm1sV1ZuUktiVkJyVFJDZUF4amtCU2dLTWdtQlVZNUV2ZWJBVXdF,"04/06/2026, 02:57 AM, +0000 UTC",2026-04-06T02:57:16Z,
29,Puma merodea fincas en el Oriente antioqueño: piden no atacar al felino y seguir estas recomendaciones | El Colombiano,El Colombiano,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.elcolombiano.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.elcolombiano.com/antioquia/puma-fincas-oriente-antioquia-medidas-proteccion-HF34464663,https://estaticos.elcolombiano.com/binrepository/1200x800/0c62/1200d675/none/11101/MTTJ/puma-concolor-cornare-2_50122932_20260310154602.jpg,https://news.google.com/api/attachments/CC8iK0NnNUlNM1pGYkdwblMwaHVURGhzVFJDZkF4ampCU2dLTWdZVkVJWUpHZ2s,"03/10/2026, 07:00 AM, +0000 UTC",2026-03-10T07:00:00Z,
30,Puma cerca del Autódromo El Zonda: Ambiente se encuentra controlando la zona,Diario Huarpe,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diariohuarpe.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diariohuarpe.com/nota/ambiente-confirmo-el-avistamiento-de-un-puma-suelto-cerca-del-autodromo-el-zonda-20263211620,https://pxbcdn.diariohuarpe.com/huarpe/032026/1774120319778.jpg,https://news.google.com/api/attachments/CC8iK0NnNVFMVVZtWlVwck5WUkZjakEyVFJDZkF4amlCU2dLTWdhQlk0ekFPUVU,"03/21/2026, 07:00 AM, +0000 UTC",2026-03-21T07:00:00Z,Julieta Flores Mendez
31,Puma suelto causa temor en un barrio privado,El Esquiu,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elesquiu.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.elesquiu.com/nacionales/2026/3/4/puma-suelto-causa-temor-en-un-barrio-privado-588274.html,https://www.elesquiu.com/u/fotografias/m/2026/3/4/f1280x720-587414_719089_5050.jpg,https://news.google.com/api/attachments/CC8iK0NnNUNOMUF6Tlc5YVQzRjVhbU5OVFJDZkF4ampCU2dLTWdiRkVaclZGQW8,"03/04/2026, 08:00 AM, +0000 UTC",2026-03-04T08:00:00Z,
32,Sorprende avistamiento de puma en la Reserva de la Biosfera Balam Kú en México,Escapada H,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.escapadah.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.escapadah.com/tendencias/2026/3/4/sorprende-avistamiento-de-puma-en-la-reserva-de-la-biosfera-balam-ku-en-mexico-36360.html,https://www.escapadah.com/u/fotografias/m/2026/3/4/f1280x720-65568_197243_5050.jpg,https://news.google.com/api/attachments/CC8iK0NnNXFTMFEyUm5nd2Qwc3hPVUl5VFJDZkF4ampCU2dLTWdhVmhZYnNyUWM,"03/04/2026, 08:00 AM, +0000 UTC",2026-03-04T08:00:00Z,
33,Video: dos turistas recorrían una reserva natural en Mendoza y captaron el momento en el que un puma cazó a un choique,Infobae,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.infobae.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.infobae.com/sociedad/2026/03/10/video-dos-turistas-recorrian-una-reserva-natural-en-mendoza-y-captaron-el-momento-en-el-que-un-puma-cazo-a-un-choique/,https://www.infobae.com/resizer/v2/YWIWRSBD4BDLRHVXV5VZ6Z4TJE.jpg?auth=9fd74a8e81544ece3cc9e67d1a1e56604a4712666d21f1bfd85ef18726100517&smart=true&width=1200&height=675&quality=85,https://news.google.com/api/attachments/CC8iL0NnNUROVEpVUmxOeVFXTnpYMEpvVFJDZkF4ampCU2dLTWdrQlVaUUZPMmRGU2dJ,"03/10/2026, 07:00 AM, +0000 UTC",2026-03-10T07:00:00Z,
34,Cortolima confirma por primera vez el avistamiento de un puma en el sur del Tolima,UNIMINUTO Radio,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.uniminutoradio.com.co&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.uniminutoradio.com.co/cortolima-confirma-por-primera-vez-el-avistamiento-de-un-puma-en-el-sur-del-tolima/,https://www.uniminutoradio.com.co/wp-content/uploads/2026/01/WhatsApp-Image-2026-01-22-at-9.41.22-AM.jpeg,https://news.google.com/api/attachments/CC8iK0NnNXdhVU5UT1Rkd2VtdHRZMlIzVFJDb0FSaXNBaWdCTWdZQkVJR3lVQU0,"01/23/2026, 08:00 AM, +0000 UTC",2026-01-23T08:00:00Z,
35,En video: avistamiento de un puma en reserva de la UdeA,Vivir en El Poblado,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://vivirenelpoblado.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://vivirenelpoblado.com/avistamiento-de-puma-universidad-de-antioquia-gomez-plata/,https://vivirenelpoblado.com/wp-content/uploads/2026/03/puma-foto.jpg,https://news.google.com/api/attachments/CC8iI0NnNUJkVmhzZW1wblIxSnFMVmxGVFJDYUF4anRCU2dLTWdB,"03/19/2026, 07:00 AM, +0000 UTC",2026-03-19T07:00:00Z,
36,Reportan recientes avistamientos del Puma concolor en varias zonas de Antioquia: esto es lo que debe hacer si se encuentra con uno,ELTIEMPO.COM,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.eltiempo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.eltiempo.com/colombia/medellin/reportan-recientes-avistamientos-del-puma-concolor-en-varias-zonas-de-antioquia-esto-es-lo-que-debe-hacer-si-se-encuentra-con-uno-3522746,https://imagenes2.eltiempo.com/files/image_1200_675/files/fp/uploads/2023/06/21/64938b0a24d7a.r_d.1039-412-0.jpeg,https://news.google.com/api/attachments/CC8iK0NnNW9hWEJLUkZkNlNuSnpaMDFLVFJDZkF4ampCU2dLTWdhWlVZZ3FKZ2s,"01/08/2026, 08:00 AM, +0000 UTC",2026-01-08T08:00:00Z,
37,“Paren todo”: así anunciaron el avistamiento de un Puma concolor en Chingaza,El Espectador,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.elespectador.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.elespectador.com/ambiente/paren-todo-asi-anunciaron-el-avistamiento-de-un-puma-concolor-en-chingaza/,https://www.elespectador.com/resizer/v2/UYZFMGQLVVDYNAK57UCRPB6UNE.jpg?auth=c14aaae0c8d4f40ce26be7544b1bc97cb08fe7442a4964ff5dd19b6641839970&width=1200&height=675&smart=true&quality=80,https://news.google.com/api/attachments/CC8iK0NnNUhNalp2TkhOUVVUZE1jV1ExVFJDZkF4ampCU2dLTWdZeEFvTVIwUUk,"11/02/2025, 07:00 AM, +0000 UTC",2025-11-02T07:00:00Z,
38,El puma de Tamaulipas: el sigiloso guardián que ronda nuestras montañas,Milenio,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.milenio.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.milenio.com/ciencia-y-salud/puma-tamaulipas-presencia-habitat-avistamientos-felino-silv,https://cdn.milenio.com/uploads/media/2020/11/21/tamaulipas-tiene-al-puma-en.jpg,https://news.google.com/api/attachments/CC8iL0NnNXlWalZpWVZSa1Z6STVXV0owVFJDMUF4aS1CU2dLTWdtZFlwTHlKQ2h6elFF,"11/15/2025, 08:00 AM, +0000 UTC",2025-11-15T08:00:00Z,
39,Atropellamiento de puma y avistamientos recientes motivan llamado de precaución en vías de Antioquia,MiOriente,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://mioriente.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://mioriente.com/antioquia/precaucion-vias-antioquia-puma.html,,,"01/08/2026, 08:00 AM, +0000 UTC",2026-01-08T08:00:00Z,
